,Add,Temp,val,Day,,
323,Cellulose- 20,-2,484.998168,7,,
324,Cellulose- 20,-2,484.998168,7,,
325,Cellulose- 20,-2,484.998168,7,,
326,Cellulose- 20,-2,560.9457114,8,,
327,Cellulose- 20,-2,560.9457114,8,,
328,Cellulose- 20,-2,560.9457114,8,,
329,Cellulose- 20,-2,560.9457114,8,,
330,Cellulose- 20,-2,634.4733086,9,,
331,Cellulose- 20,-2,634.4733086,9,,
332,Cellulose- 20,-2,634.4733086,9,,
333,Cellulose- 20,-2,634.4733086,9,,
334,Cellulose- 20,-2,695.1077571,10,,
335,Cellulose- 20,-2,695.1077571,10,,
336,Cellulose- 20,-2,695.1077571,10,,
337,Cellulose- 20,-2,695.1077571,10,,1
338,Cellulose- 20,2,0,1,,1
339,Cellulose- 20,2,0,1,,1
340,Cellulose- 20,2,0,1,,1
341,Cellulose- 20,2,0,1,,2
342,Cellulose- 20,2,1647.779486,2,,2
343,Cellulose- 20,2,1647.779486,2,,2
344,Cellulose- 20,2,1647.779486,2,,2
345,Cellulose- 20,2,1647.779486,2,,3
346,Cellulose- 20,2,3345.11255,3,,3
347,Cellulose- 20,2,3345.11255,3,,3
348,Cellulose- 20,2,3345.11255,3,,3
349,Cellulose- 20,2,3345.11255,3,,4
350,Cellulose- 20,2,5631.341017,4,,4
351,Cellulose- 20,2,5631.341017,4,,4
352,Cellulose- 20,2,5631.341017,4,,4
353,Cellulose- 20,2,5631.341017,4,,5
354,Cellulose- 20,2,9002.111297,5,,5
355,Cellulose- 20,2,9002.111297,5,,5
356,Cellulose- 20,2,9002.111297,5,,5
357,Cellulose- 20,2,9002.111297,5,,6
358,Cellulose- 20,2,10704.78009,6,,6
359,Cellulose- 20,2,10704.78009,6,,6
360,Cellulose- 20,2,10704.78009,6,,6
361,Cellulose- 20,2,10704.78009,6,,7
362,Cellulose- 20,2,11284.81832,7,,7
363,Cellulose- 20,2,11284.81832,7,,7
364,Cellulose- 20,2,11284.81832,7,,7
365,Cellulose- 20,2,11284.81832,7,,8
366,Cellulose- 20,2,11797.2918,8,,8
367,Cellulose- 20,2,11797.2918,8,,8
368,Cellulose- 20,2,11797.2918,8,,8
369,Cellulose- 20,2,11797.2918,8,,9
370,Cellulose- 20,2,12329.39834,9,,9
371,Cellulose- 20,2,12329.39834,9,,9
372,Cellulose- 20,2,12329.39834,9,,9
373,Cellulose- 20,2,12329.39834,9,,10
374,Cellulose- 20,6,0,1,,10
375,Cellulose- 20,6,0,1,,10
376,Cellulose- 20,6,0,1,,10
377,Cellulose- 20,6,0,1,,11
378,Cellulose- 20,6,2701.480818,2,,11
379,Cellulose- 20,6,2701.480818,2,,11
380,Cellulose- 20,6,2701.480818,2,,11
381,Cellulose- 20,6,2701.480818,2,,
382,Cellulose- 20,6,5486.291678,3,,
383,Cellulose- 20,6,5486.291678,3,,
384,Cellulose- 20,6,5486.291678,3,,
385,Cellulose- 20,6,5486.291678,3,,
386,Cellulose- 20,6,8343.765705,4,,
387,Cellulose- 20,6,8343.765705,4,,
388,Cellulose- 20,6,8343.765705,4,,
389,Cellulose- 20,6,8343.765705,4,,
390,Cellulose- 20,6,10675.60738,5,,
391,Cellulose- 20,6,10675.60738,5,,
392,Cellulose- 20,6,10675.60738,5,,
393,Cellulose- 20,6,10675.60738,5,,
394,Cellulose- 20,6,12049.11926,6,,
395,Cellulose- 20,6,12049.11926,6,,
396,Cellulose- 20,6,12049.11926,6,,
397,Cellulose- 20,6,12049.11926,6,,
398,Cellulose- 20,6,13130.2698,7,,
399,Cellulose- 20,6,13130.2698,7,,
400,Cellulose- 20,6,13130.2698,7,,
401,Cellulose- 20,6,13130.2698,7,,
402,Cellulose- 20,6,13752.5282,8,,
403,Cellulose- 20,6,13752.5282,8,,
404,Cellulose- 20,6,13752.5282,8,,
405,Cellulose- 20,6,13752.5282,8,,
406,Cellulose- 20,6,13957.7708,9,,
407,Cellulose- 20,6,13957.7708,9,,
408,Cellulose- 20,6,13957.7708,9,,
409,Cellulose- 20,6,13957.7708,9,,
410,Cellulose- 20,10,0,1,,
411,Cellulose- 20,10,0,1,,
412,Cellulose- 20,10,0,1,,
413,Cellulose- 20,10,4110.808639,2,,
414,Cellulose- 20,10,4110.808639,2,,
415,Cellulose- 20,10,4110.808639,2,,
416,Cellulose- 20,10,7263.706686,3,,
417,Cellulose- 20,10,7263.706686,3,,
418,Cellulose- 20,10,7263.706686,3,,
419,Cellulose- 20,10,10673.93445,4,,
420,Cellulose- 20,10,10673.93445,4,,
421,Cellulose- 20,10,10673.93445,4,,
422,Cellulose- 20,10,14654.20567,5,,
423,Cellulose- 20,10,14654.20567,5,,
424,Cellulose- 20,10,14654.20567,5,,
425,Cellulose- 20,10,16990.96581,6,,
426,Cellulose- 20,10,16990.96581,6,,
427,Cellulose- 20,10,16990.96581,6,,
428,Cellulose- 20,10,18455.68661,7,,
429,Cellulose- 20,10,18455.68661,7,,
430,Cellulose- 20,10,18455.68661,7,,
431,Cellulose- 20,10,19398.58555,8,,
432,Cellulose- 20,10,19398.58555,8,,
433,Cellulose- 20,10,19398.58555,8,,
434,Cellulose- 90,-6,0,1,,
435,Cellulose- 90,-6,0,1,,
436,Cellulose- 90,-6,0,1,,
437,Cellulose- 90,-6,0,1,,
438,Cellulose- 90,-6,86.60579346,2,,
439,Cellulose- 90,-6,86.60579346,2,,
440,Cellulose- 90,-6,86.60579346,2,,
441,Cellulose- 90,-6,86.60579346,2,,
442,Cellulose- 90,-6,134.3494393,3,,
443,Cellulose- 90,-6,134.3494393,3,,
444,Cellulose- 90,-6,134.3494393,3,,
445,Cellulose- 90,-6,134.3494393,3,,
446,Cellulose- 90,-6,209.8255429,4,,
447,Cellulose- 90,-6,209.8255429,4,,
448,Cellulose- 90,-6,209.8255429,4,,
449,Cellulose- 90,-6,209.8255429,4,,
450,Cellulose- 90,-6,296.2806964,5,,
451,Cellulose- 90,-6,296.2806964,5,,
452,Cellulose- 90,-6,296.2806964,5,,
453,Cellulose- 90,-6,296.2806964,5,,
454,Cellulose- 90,-6,338.8976731,6,,
455,Cellulose- 90,-6,338.8976731,6,,
456,Cellulose- 90,-6,338.8976731,6,,
457,Cellulose- 90,-6,338.8976731,6,,
458,Cellulose- 90,-6,387.2738513,7,,
459,Cellulose- 90,-6,387.2738513,7,,
460,Cellulose- 90,-6,387.2738513,7,,
461,Cellulose- 90,-6,387.2738513,7,,
462,Cellulose- 90,-6,422.0951709,8,,
463,Cellulose- 90,-6,422.0951709,8,,
464,Cellulose- 90,-6,422.0951709,8,,
465,Cellulose- 90,-6,422.0951709,8,,
466,Cellulose- 90,-6,464.1645521,9,,
467,Cellulose- 90,-6,464.1645521,9,,
468,Cellulose- 90,-6,464.1645521,9,,
469,Cellulose- 90,-6,464.1645521,9,,
470,Cellulose- 90,-6,485.8360875,10,,
471,Cellulose- 90,-6,485.8360875,10,,
472,Cellulose- 90,-6,485.8360875,10,,
473,Cellulose- 90,-6,485.8360875,10,,
474,Cellulose- 90,-6,494.5980242,11,,
475,Cellulose- 90,-6,494.5980242,11,,
476,Cellulose- 90,-6,494.5980242,11,,
477,Cellulose- 90,-6,494.5980242,11,,
478,Cellulose- 90,-2,0,1,,
479,Cellulose- 90,-2,0,1,,
480,Cellulose- 90,-2,0,1,,
481,Cellulose- 90,-2,96.22996949,2,,
482,Cellulose- 90,-2,96.22996949,2,,
483,Cellulose- 90,-2,96.22996949,2,,
484,Cellulose- 90,-2,209.8220864,3,,
485,Cellulose- 90,-2,209.8220864,3,,
486,Cellulose- 90,-2,209.8220864,3,,
487,Cellulose- 90,-2,314.2061193,4,,
488,Cellulose- 90,-2,314.2061193,4,,
489,Cellulose- 90,-2,314.2061193,4,,
490,Cellulose- 90,-2,420.4087015,5,,
491,Cellulose- 90,-2,420.4087015,5,,
492,Cellulose- 90,-2,420.4087015,5,,
