ID,Add,Temp,T2,TOC,FUM TOC,TN,FUM TN,MBC,MBN
BN2-3,Cellotetraose,-2,-2,2881.293035,6799.025575,221.0743216,444.1674116,3917.732539,223.09309
BN2-4,Cellotetraose,-2,-2,6560.328948,6318.707069,205.1991032,450.6296421,-241.621879,245.4305389
CN2-1,Coloidal cellulose,-2,-2,1187.814114,3770.227571,241.6959909,457.5623938,2582.413458,215.8664029
CN2-2,Coloidal cellulose,-2,-2,1012.338755,3395.23221,212.7405823,397.8124654,2382.893455,185.0718831
CN2-3,Coloidal cellulose,-2,-2,928.1854167,3586.581332,195.593186,424.7928037,2658.395915,229.1996177
CN2-4,Coloidal cellulose,-2,-2,1042.129119,3324.510899,209.3901775,405.4518141,2282.38178,196.0616366
DN2-1,Cellulose- 20,-2,-2,747.4931686,2895.013267,202.2470705,403.0740729,2147.520098,200.8270024
DN2-2,Cellulose- 20,-2,-2,1117.08906,3648.912584,293.8966398,545.3443251,2531.823524,251.4476852
DN2-3,Cellulose- 20,-2,-2,861.6011457,3976.282561,237.8687644,550.040257,3114.681416,312.1714926
DN2-4,Cellulose- 20,-2,-2,825.271137,4037.131687,217.8316268,543.8105987,3211.86055,325.978972
EN2-1,Cellulose- 90,-2,-2,1126.721892,3942.645042,275.1521763,560.0626713,2815.923149,284.910495
EN2-2,Cellulose- 90,-2,-2,1223.989263,3898.137209,272.8135832,514.7473503,2674.147946,241.9337672
EN2-3,Cellulose- 90,-2,-2,1145.620634,3716.971927,246.053582,510.1157077,2571.351293,264.0621257
EN2-4,Cellulose- 90,-2,-2,1035.582648,3424.641391,222.8414814,453.5120053,2389.058743,230.6705238
FN2-1,None,-2,-2,1014.927518,3697.600599,231.6395721,525.4068613,2682.67308,293.7672892
FN2-2,None,-2,-2,1117.262511,3291.69862,256.3087028,469.1924556,2174.436109,212.8837528
FN2-3,None,-2,-2,1249.23753,3776.59667,267.7504989,537.0156494,2527.35914,269.2651505
FN2-4,None,-2,-2,1064.498876,3830.503679,262.002856,544.3171441,2766.004804,282.3142881
A2-1,Cellobiose,2,2,1047.135136,3313.906699,61.84290057,385.330135,2266.771563,323.4872345
A2-2,Cellobiose,2,2,1038.575854,2700.269304,53.65769303,310.0827134,1661.693451,256.4250203
A2-3,Cellobiose,2,2,1277.105361,3463.412995,77.56601768,393.7970072,2186.307634,316.2309895
A2-4,Cellobiose,2,2,1144.849749,2934.94538,71.81137945,324.5573535,1790.095631,252.745974
B2-1,Cellotetraose,2,2,1492.113568,2970.849176,90.62517851,367.8596849,1478.735609,277.2345064
