CoreID,inc,Add
out_Wein_FN6.1_56_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8491,-6,none
out_Wein_FN6.2_46_C_FTICR_07Nov22_Fir_300SA_IATp01_8355,-6,none
out_Wein_FN6.2_46_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8461,-6,none
out_Wein_FN6.3_12_C_FTICR_07Nov22_Fir_300SA_IATp01_8393,-6,none
out_Wein_FN6.3_12_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8476,-6,none
out_Wein_P1_1_C_FTICR_07Nov22_Fir_300SA_IATp01_8380,NA,NA
out_Wein_P1_1_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8411,NA,NA
out_Wein_P1_1_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8485,NA,NA
out_Wein_P2_53_C_FTICR_07Nov22_Fir_300SA_IATp01_8358,NA,NA
out_Wein_P2_53_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8459,NA,NA
out_Wein_P3_7_C_FTICR_07Nov22_Fir_300SA_IATp01_8350,NA,NA
out_Wein_P3_7_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8438,NA,NA
out_Wein_B2.1_49_C_FTICR_07Nov22_Fir_300SA_IATp01_8361,2,callotetraose
out_Wein_B2.1_49_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8414,2,callotetraose
out_Wein_B2.1_49_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8488,2,callotetraose
out_Wein_B2.2_25_C_FTICR_07Nov22_Fir_300SA_IATp01_8375,2,callotetraose
